Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
2020-04-07,Stella Jang,Villain,빌런,,https://youtu.be/ghpn99s8I-U,Girl Solo,Major
2020-04-06,(G)I-DLE,Oh My God,오마이갓,Rigend Film,https://youtu.be/om3n2ni8luE,Girl,Major
2020-04-06,MAX Changmin,Chocolate,,,https://youtu.be/-sKqPjhSiq0,Boy Solo,Major
2020-04-05,cignature,ASSA,아싸,,https://youtu.be/xDuaONIDgvc,Girl,Major
2020-04-02,Onewe,Q feat Hwasa,모르겠다고,,https://youtu.be/Ww0O3RhZbXw,Boy,Major
2020-04-01,Hong Jinyoung,Love is like a petal,사랑은 꽃잎처럼,,https://youtu.be/aTx5trrmYCQ,Girl Solo,Major
2020-03-31,CIX,Revival,,,https://youtu.be/LkbwhXFrmsc,Boy,Japanese
2020-03-30,TOO,Magnolia,매그놀리아,,https://youtu.be/VMON43ideUI,Boy,Major
2020-03-30,MONSTA X,Wish on the same sky,,,https://youtu.be/Xn5fAvdEEZA,Boy,Japanese
2020-03-30,SUHO (EXO),Let's Love,"사랑, 하자",,https://youtu.be/Ygrv55VRRas,Boy Solo,Major
2020-03-26,WINNER,Hold,뜸,Sushivisual,https://youtu.be/YURT0erwtJc,Boy,Major
2020-03-24,Kang Daniel,2U,,,https://youtu.be/GmqfRBaJm6I,Boy Solo,Major
2020-03-24,Oneus,A Song Written Easily,쉽게 쓰여진 노래,ZANYBROS,https://youtu.be/Fbj4Dh-QkpA,Boy,Major
2020-03-23,Seventeen,Fallin' Flower,舞い落ちる花びら,,https://youtu.be/u4iDL3c0T1c,Boy,Japanese
2020-03-22,Kisum,Primero,1위,,https://youtu.be/5YsdHqm9udM,Girl Solo,Minor
2020-03-21,PURPLEBECK,VALENTi,,,https://youtu.be/ndwoqz1wx7Y,Girl,Major
2020-03-20,Daydream,Num Num,,,https://youtu.be/XrAZVvCaqL0,Girl,Major
2020-03-17,Sejeong (gugudan),Plant,,,https://youtu.be/pbAUixR61Vs,Girl Solo,Major
2020-03-15,Hong Eunki,Breath,숨,,https://youtu.be/zIvlwzMuP-4,Boy Solo,Major
2020-03-13,Eyedi,J.us.t,,,https://youtu.be/UbIz99fsUXY,Girl Solo,Major
2020-03-12,AB6IX,Color Eye (Park Woojin),,,https://youtu.be/aFRkwkLMGHI,Boy,Special
2020-03-11,DONGKIZ,Lupin,,,https://youtu.be/6ZgIW9CwhZw,Boy,Major
2020-03-11,Dreamcatcher,Sahara,,,https://youtu.be/BgLhbkKu1s4,Girl,Special
2020-03-10,Favorite,Lie,또 LIE,,https://youtu.be/lE1X2U1sBFg,Girl,Major
2020-03-09,Stray Kids,Levanter -Japanese ver.-,,,https://youtu.be/YlOLn9Pd9R4,Boy,Japanese
2020-03-09,ITZY,Wannabe,,Naive,https://youtu.be/fE2h3lGlOsk,Girl,Major
2020-03-08,VICTON,Howling,,,https://youtu.be/fPlcZsCOugA,Boy,Major
2020-03-05,BTS,Black Swan,,,https://youtu.be/0lapF4DQPKQ,Boy,Minor
2020-03-05,NCT 127,Kick It,영웅,Kim 'Oui Kim' Seonguk,https://youtu.be/2OvyA2__Eas,Boy,Major
2020-03-04,VIINI,"Love The Moon feat. Suhyun, BLOO",달을 사랑해,,https://youtu.be/Md9RRt2r3TU,Boy Solo,Major
2020-03-04,Dreamcatcher,Endless Night,,,https://youtu.be/wCALuFy2YVI,Girl,Japanese
2020-03-03,CRAXY,Aria,,,https://youtu.be/KhM_l1EeHKc,Girl,Major
2020-03-01,FTISLAND,Sunrise Yellow,,,https://youtu.be/SYMZf2DgRdg,Boy,Japanese
2020-02-29,Chungha,Everybody Has,솔직히 지친다,,https://youtu.be/-4sq1sUI7-I,Girl,Special
2020-02-28,BTS,ON,온,,https://youtu.be/mPVDGOVjRQ0,Boy,Major
2020-02-28,Lim Kim,Mong,,,https://youtu.be/XYNfqKJr538,Girl Solo,Major
2020-02-27,SF9,Good Guy -Japanese ver.-,,,https://youtu.be/LswOtwkLEAI,Boy,Japanese
2020-02-27,MCND,Ice Age,,,https://youtu.be/XpIG9dq1PQw,Boy,Major
2020-02-26,ELRIS,Jackpot,,August Frogs,https://youtu.be/iPAIlZM1VUU,Girl,Major
2020-02-24,AleXa,A.I Trooper,,,https://youtu.be/LGt-Dmnjk-s,Girl Solo,Minor
2020-02-24,Ravi,ROCKSTAR (Feat. Paloalto),,,https://youtu.be/OZw8s1wVUtU,Boy Solo,Major
2020-02-23,Spectrum,Showtime,,,https://youtu.be/13ktxoI5E-M,Boy,Major
2020-02-22,UNVS,Timeless,,,https://youtu.be/MEtQXrElVy0,Boy,Major
2020-02-21,BTS,ON (Kinetic Manifesto Film : Come Prima),온,Lumpens,https://youtu.be/gwMa6gpoE9I,Boy,Major
2020-02-21,ELRIS,This is me (Dance Ver.),,,https://youtu.be/9uhUmjANdQA,Girl,Minor
2020-02-21,Moon,Woo,,,https://youtu.be/WDrcvug1xZs,Girl Solo,Major
2020-02-21,3YE,Queen,퀸,,https://youtu.be/HWOtN5B8PnU,Girl,Major
2020-02-20,Weki Meki,Dazzle Dazzle,대즐대즐,,https://youtu.be/RTeOt6n90vM,Girl,Major
2020-02-20,AB6IX,More (Kim Donghyun),더 더,,https://youtu.be/VRhO5svfMTI,Boy,Special
2020-02-18,Dreamcatcher,Scream,,,https://youtu.be/FKlGHHhTOsQ,Girl,Major
2020-02-18,HighSchool,Timing,타이밍,,https://youtu.be/fC9LIVFPB6s,Girl,Major
2020-02-17,IZ*One,Fiesta,,Rigend Film,https://youtu.be/eDEFolvLn0A,Girl,Major
2020-02-13,AB6IX,Moondance (Jeon Woong),,,https://youtu.be/8guHZbcOe0U,Boy,Special
2020-02-12,Sumin+Zion.T,Dirty Love,더럽게,,https://youtu.be/BvF9ri_AltA,Special,Major
2020-02-12,BLACK6IX,Call My Name,,,https://youtu.be/VJq4UMLtYaU,Boy,Major
2020-02-12,KARD,Red Moon,,ZANYBROS,https://youtu.be/ZAEqQPAEkug,Co-ed,Major
2020-02-11,AlphaBAT,Again,불러본다,,https://youtu.be/Nux-2AI-IK8,Boy,Special
2020-02-11,Pentagon,Dr. Bebe,Dr. 베베,ZANYBROS,https://youtu.be/eMIBLloecRI,Boy,Major
2020-02-11,Cherry Bullet,Hands Up,무릎을 탁 치고,,https://youtu.be/FFSHUWCDK8Q,Girl,Major
2020-02-10,Rocket Punch,Bouncy,바운시,ZANYBROS,https://youtu.be/QqggrSpICM0,Girl,Major
2020-02-09,The Boyz,Reveal,,,https://youtu.be/EZntLk9bTUw,Boy,Major
2020-02-08,Sunmi,Gotta Go,가라고,,https://youtu.be/fN-YPbbGUoE,Girl Solo,OST
2020-02-06,iKON,Dive,뛰어들게,,https://youtu.be/brP5M0o4hi8,Boy,Major
2020-02-06,BVNDIT,Cool,,,https://youtu.be/LWQ5zNi_9r8,Girl,Special
2020-02-05,Loona,So What,,Digipedi,https://youtu.be/GEo5bmUKFvI,Girl,Major
2020-02-05,SAAY,Winter feat. WOO,,,https://youtu.be/XFdPF5gyjTc,Girl Solo,Major
2020-02-04,Mamamoo,HIP -Japanese ver.-,,,https://youtu.be/yc10BuFih2U,Girl,Japanese
2020-02-03,cignature,Nun Nu Nan Na,눈누난나,,https://youtu.be/WM9DCnxXstI,Girl,Major
2020-02-03,DKB,Sorry Mama,미안해 엄마,,https://youtu.be/0VngyLZ0hQI,Boy,Major
2020-02-03,Everglow,Dun Dun,,,https://youtu.be/NoYKBAajoyo,Girl,Major
2020-02-03,GFRIEND,Crossroads,교차로,,https://youtu.be/kx5TWKPE5sU,Girl,Major
2020-02-03,Dreamcatcher,Red Sun,,,https://youtu.be/RKBJVdjOHUY,Girl,Minor
2020-02-02,Kim Jaehwan,Goodbye,안녕,,https://youtu.be/he_XQNuWhis,Boy Solo,Major
2020-01-30,Yezi,My Gravity,,,https://youtu.be/YimQ4mB0uiM,Girl Solo,Major
2020-01-29,ATEEZ,Answer (Japanese Ver.),,,https://youtu.be/xU7vogho4R0,Boy,Japanese
2020-01-29,Golden Child,Without You,,ZANYBROS,https://youtu.be/UjkNOC9h3_g,Boy,Major
2020-01-28,Siyeon (Dreamcatcher),Paradise,,,https://youtu.be/JDmZ6oguzzM,Girl Solo,Special
2020-01-28,SECHSKIES,All For You,,,https://youtu.be/X-jbgKPEf40,Boy,Major
2020-01-28,Super Junior,2YA2YAO!,,,https://youtu.be/Uqi34thogl4,Boy,Major
2020-01-24,Nature,I'm So Pretty (Japanese ver.),,,https://youtu.be/CBsOb4R1AHw,Girl,Japanese
2020-01-23,"Dynamic Duo, Chen (EXO)",Alone,혼자,,https://youtu.be/5MTiAh2EouI,Boy,Special
2020-01-23,Super Junior,I Think I (Japanese ver.),,,https://youtu.be/yB5kc4VGo5E,Boy,Japanese
2020-01-22,Gavy NJ,I’m in Sinchon,신촌에 왔어,,https://youtu.be/Kta0alJhOmY,Girl,Major
2020-01-21,"Paul Kim, Chungha",Loveship,,,https://youtu.be/dM5gMsePq-o,Co-ed,Special
2020-01-20,Kiara,Boss,,,https://youtu.be/f5pTBgvXJeA,Girl Solo,Major
2020-01-17,OnlyOneOf,meSAGE,,,https://youtu.be/Ed9Znq_Kpk0,Boy,Minor
2020-01-17,BTS,Black Swan,,,https://youtu.be/vGbuUFRdYqU,Boy,Minor
2020-01-15,CRAXY,My Universe,,,https://youtu.be/Y1f5hl78m30,Girl,Minor
2020-01-15,TVXQ!,Manazashi,,,https://youtu.be/jVlzyC5WFZ0,Boy,Japanese
2020-01-15,Taeyeon,Dear Me,내게 들려주고 싶은 말,,https://youtu.be/bho0m505qVA,Girl Solo,Major
2020-01-14,TXT,Run Away (Japanese Ver.),9と4分の3番線で君を待つ,,https://youtu.be/2u8ExBR-RbQ,Boy,Japanese
2020-01-13,2Z,My 1st Hero,,,https://youtu.be/MLm4PCzBreE,Boy,Major
2020-01-13,Zico,Anysong,아무노래,,https://youtu.be/UdyjeUwPz_E,Boy Solo,Major
2020-01-12,Hara,Hello,,,https://youtu.be/C9V7Cd0SmKc,Girl Solo,Japanese
2020-01-12,ENOi,Cheeky,,,https://youtu.be/IYSlVTlv4bQ,Boy,Major
2020-01-10,ANS,Say My Name,,,https://youtu.be/-NGoD8l-fp4,Girl,Major
2020-01-09,Ong Seung Wu,We Belong,,,https://youtu.be/AkE_L1Lj4Lc,Boy Solo,Major
2020-01-08,Amber Liu,Stay Calm,,,https://youtu.be/tBWh4IAHgWQ,Girl Solo,Major
2020-01-08,DreamNote,Wish,바라다,,https://youtu.be/DQ4Ni7KsHoI,Girl,Major
2020-01-07,Verivery,Lay Back,,,https://youtu.be/X2RyGcufXKw,Boy,Major
2020-01-07,Red Velvet,Remember Forever,,,https://youtu.be/aVMs0cO-dMQ,Girl,Minor
2020-01-06,B.O.Y,My Angel,,,https://youtu.be/QphFqZ7tf9o,Boy,Major
2020-01-06,Dustin,Burn,,,https://youtu.be/5t5lpeKTrRU,Boy,Major
2020-01-06,Younha,Dark Cloud,먹구름,,https://youtu.be/hrO-BgLjJ-Q,Girl Solo,Major
2020-01-06,ATEEZ,Answer,,,https://youtu.be/yW7wZX3DUaY,Boy,Major
2020-01-05,SF9,Good Guy,,,https://youtu.be/n8zQysKciao,Boy,Major
2020-01-04,M.O.N.T,Tired,피곤,,https://youtu.be/qdJwaiZBV5E,Boy,Major
2020-01-02,MCND,Top Gang,,,https://youtu.be/4fNgJkio31c,Boy,Major
2020-01-02,TST,Count down,,,https://youtu.be/O9sgPPXoPsI,Boy,Major
2020-01-01,DONGKIZ,All I Need is You,,,https://youtu.be/Ds_SRpB2-jQ,Boy,Major
2019-12-30,Momoland,Thumbs Up,,,https://youtu.be/TbuP2ypiTRc,Girl,Major
2019-12-26,Jiyeon,Take A Hike,,,https://youtu.be/tJNS1W0YmdE,Girl Solo,Major
2019-12-23,Red Velvet,Psycho,,,https://youtu.be/uR8Mrt1IpXg,Girl,Major
2019-12-17,Oneus,808,,,https://youtu.be/5N3Wl-07Pws,Boy,Japanese
2019-12-15,Woojoo jjokkomi,White Winter,,,https://youtu.be/2ttQmpeSk4o,Boy,Special
2019-12-13,Kim Jaehwan,The Time I Need,시간이 필요해,,https://youtu.be/t_aAAx2gtvY,Boy Solo,Major
2019-12-11,BoA,Starry Night faet. Crush,,,https://youtu.be/u3ZYUsd1vRU,Girl Solo,Major
2019-12-09,Stray Kids,Levanter,바람,,https://youtu.be/Fpgd3ac3_nM,Boy,Major
2019-12-06,JBJ95,Only One,,,https://youtu.be/2KkPu680fQc,Boy,Major
2019-12-04,Park Jihoon,360,,,https://youtu.be/6Fibpj267H0,Boy Solo,Major
2019-12-03,U-Kwon (Block B),Fuego feat. RGP,,,https://youtu.be/MyAoZfwWdgk,Boy Solo,Major
2019-12-02,Hi Cutie,Lovely Day,러블리데이,,https://youtu.be/Y1ENebCORMk,Girl,Minor
2019-11-30,J.Y. Park,"Fever feat. Superbee, BIBI",,,https://youtu.be/IePbjLAUvf0,Boy Solo,Major
2019-11-28,Limitless,Wish Wish,,,https://youtu.be/-KBg_KnB7SU,Boy,Major
2019-11-28,Newkidd,Come,컴,,https://youtu.be/XIfhwwAG1Oo,Boy,Major
2019-11-27,EXO,Obsession,,,https://youtu.be/uxmP4b2a0uY,Boy,Major
2019-11-26,AOA,Come See Me,날 보러 와요,,https://youtu.be/ixxWWKX4S_8,Girl,Major
2019-11-25,Kang Daniel,Touchin',,,https://youtu.be/aSGisoCdLPc,Boy Solo,Major
2019-11-20,ASTRO,Blue Flame,,,https://youtu.be/wS7anrSXKrY,Boy,Major
2019-11-19,CIX,Numb,순수의 시대,,https://youtu.be/xHx-kNjEYZM,Boy,Major
2019-11-19,WJSN,As You Wish,이루리,,https://youtu.be/2Q9G6R2hKIQ,Girl,Major
2019-11-18,Golden Child,Wannabe,,ZANYBROS,https://youtu.be/AnSAGpoqLPg,Boy,Major
2019-11-18,IU,Blueming,블루밍,,https://youtu.be/D1PvIWdJ8xo,Girl Solo,Major
2019-11-14,Mamamoo,Hip,,,https://youtu.be/KhTeiaCezwM,Girl,Major
2019-11-13,IN2IT,ULlala: Poisoning,ULlala: 중독,,https://youtu.be/5UEASmBf89o,Boy,Major
2019-11-13,Stray Kids,Astronaut,,,https://youtu.be/ZnpEBYvgiAU,Boy,Major
2019-11-12,Nature,OOPSIE (My Bad),,,https://youtu.be/F95zh5JMi_Q,Girl,Major
2019-11-12,Seven O'Clock,Midnight Sun,,,https://youtu.be/lKmUjW0xAlY,Boy,Major
2019-11-10,ATEEZ,UTOPIA (Japanese Ver.),,,https://youtu.be/ZLQm-8Z6C8M,Boy,Japanese
2019-11-06,The Boyz,Tattoo,,,https://youtu.be/gHp42n13nPs,Boy,Japanese
2019-11-06,1TEAM,Make This,,,https://youtu.be/nJ42EuzsWw0,Boy,Major
2019-11-05,BVNDIT,Dumb,,Rigend Film,https://youtu.be/n5bqzXD4WTc,Girl,Major
2019-11-05,Dawn,Money,,,https://youtu.be/Kr8-EFdl6gg,Boy Solo,Major
2019-11-05,Hyuna,Flower Shower,,,https://youtu.be/8xqSz6_RJeU,Girl Solo,Major
2019-11-05,DONGKIZ,Fever,,,https://youtu.be/ABFlF4OznK0,Boy,Major
2019-11-04,B.I.G,Illusion,,,https://youtu.be/6HFkXcSaeDM,Boy,Major
2019-11-04,GOT7,You Calling My Name,니가 부르는 나의 이름,,https://youtu.be/xQI9oZEY-B0,Boy,Major
2019-11-04,VICTON,nostalgic night,그리운 밤,,https://youtu.be/xkMV1CUdJWk,Boy,Major
2019-11-03,Hinapia,Drip,,,https://youtu.be/K_qrsewuTwo,Girl,Major
2019-11-03,Nam Woohyun,When Fall Comes,가을이 오면,,https://youtu.be/vzFF-boVVVk,Boy Solo,Major
2019-11-01,San (Hotshot),Free Falling (Eng Ver.),,,https://youtu.be/3NBcWFRvTI4,Boy Solo,English
2019-11-01,OnlyOneOf,Sage,구원,Wooje Kim,https://youtu.be/JUm45Wx9Xxk,Boy,Major
2019-11-01,Jessi,Drip feat. Jay Park,,,https://youtu.be/uy4-gePx5xU,Girl Solo,Major
2019-10-31,N.Flying,Kick-Ass,,,https://youtu.be/aVvSVMuR7KE,Boy,Japanese
2019-10-31,Zico,Balloon,,,https://youtu.be/FEDXPMy0GM8,Boy Solo,Minor
2019-10-30,We In The Zone,Loveade,,,https://youtu.be/T0-CgxpP2v8,Boy,Major
2019-10-30,GFRIEND,Fallin' Light,,,https://youtu.be/mc274HUFhQQ,Girl,Japanese
2019-10-30,Yubin,Silent Movie feat. Yoon MiRae,,,https://youtu.be/6M-GNLCPf2I,Girl Solo,Major
2019-10-29,Hoody,Adios feat. GRAY,,,https://youtu.be/3JrDhzPoLkU,Girl Solo,Major
2019-10-29,A.C.E,Savage,삐딱선,,https://youtu.be/j2MyB1MjumM,Boy,Major
2019-10-28,Taeyeon,Spark,불티,,https://youtu.be/eP4ga_fNm-E,Girl Solo,Major
2019-10-28,MONSTA X,Follow,,,https://youtu.be/aa7hl8A0tAY,Boy,Major
2019-10-28,Brown Eyed Girls,Abandoned,,,https://youtu.be/u-M3mTEVyxU,Girl,Major
2019-10-28,Brown Eyed Girls,Wonder Woman,,,https://youtu.be/-ZvOzBOv1nc,Girl,Major
2019-10-27,WeGirls,Heart Beat,,,https://youtu.be/M-ZBHqUlBPo,Girl,Minor
2019-10-25,Favorite,Catch Me,,,https://youtu.be/DffHWToC3v8,Girl,Japanese
2019-10-25,Sunny Hill,NomNomNom,놈놈놈,,https://youtu.be/U4DaypnKWDg,Girl,Major
2019-10-24,M.O.N.T,The Korean Island Dokdo,독도는 우리땅,,https://youtu.be/Z285W7-ciis,Boy,Major
2019-10-24,Onewe,Regulus (Japanese ver.),,,https://youtu.be/rDb7LnQDSVM,Boy,Japanese
2019-10-24,Karin (WishGirls),Ka Ka Ka feat. Hyejin,,,https://youtu.be/GidVZnUii3w,Girl,Special
2019-10-23,Ariaz,Moonlight Aria,까만 밤의 아리아,,https://youtu.be/QISipqxMXxU,Girl,Major
2019-10-23,TVXQ!,Hot Sauce,,,https://youtu.be/v0hq5rJJqJI,Boy,Japanese
2019-10-23,Winner,SOSO,,,https://youtu.be/oDKMLDH8kqc,Boy,Major
2019-10-22,DAY6,Sweet Chaos,,,https://youtu.be/CWUGikRxGQs,Boy,Major
2019-10-22,MONSTA X,Find You,,,https://youtu.be/SRSBHbmV7hM,Boy,Minor
2019-10-22,Youngjae,Forever Love,,,https://youtu.be/RodzwqdC0RA,Boy Solo,Major
2019-10-22,Takeuchi Miyu,My Type,,,https://youtu.be/hYJ37-p57Rw,Girl Solo,Special
2019-10-22,CIX,My New World,,,https://youtu.be/rlYAk9M8q7I,Boy,Major
2019-10-21,NU'EST,Love Me,,,https://youtu.be/m5kOBOfoySA,Boy,Major
2019-10-21,VAV,Poison,포이즌,,https://youtu.be/jG5IyiVgaxA,Boy,Major
2019-10-21,TXT,Run Away,9와 4분의 3 승강장에서 너를 기다려,,https://youtu.be/6yWPfUz0z94,Boy,Major
2019-10-20,AleXa,Bomb,,,https://youtu.be/2OjCMR8DGLg,Girl Solo,Major
2019-10-19,Zelo,Drunken Master,,,https://youtu.be/Jaz-DBqBeKQ,Boy Solo,Minor
2019-10-18,BTS,Make It Right (feat Lauv),메이킷 롸잇,,https://youtu.be/eXBu09fwe3I,Boy,Minor
2019-10-17,Super Junior,SUPER CLAP,슈퍼클랩,,https://youtu.be/9yimV9i-dY0,Boy,Major
2019-10-17,1the9,Clap,속삭여,,https://youtu.be/6n5HB7ec_CE,Boy,Major
2019-10-17,Twice,Fake & True,,,https://youtu.be/zQELp93xxfo,Girl,Japanese
2019-10-16,MONSTA X,Someone's Someone,,,https://youtu.be/foHejoV20bc,Boy,English
2019-10-15,Lim Kim,Yellow,,,https://youtu.be/o5S3sPpkd8w,Girl Solo,Major
2019-10-15,N.Flying,Good Bam,굿밤,,https://youtu.be/_2XBCywb8ng,Boy,Major
2019-10-14,Lim Hyunsik,Dear Love,,,https://youtu.be/G2TQIyjyrKk,Boy Solo,Major
2019-10-10,Tiffany Young,Run For Your Life,,,https://youtu.be/Rp8sVAr6yGY,Girl Solo,English
2019-10-10,Jung Daehyun,Aight,,,https://youtu.be/Fr1GTfOqFrs,Boy Solo,Major
2019-10-10,Ladies' Code,SET ME FREE,,,https://youtu.be/RIsSCnDBDbY,Girl,Major
2019-10-09,Stray Kids,Double Knot,,,https://youtu.be/UWoyeuwj9c0,Boy,Major
2019-10-08,ATEEZ,Wonderland,,,https://youtu.be/Z_BhMhZpAug,Boy,Major
2019-10-07,GreatGuys,Be On You,비온유,,https://youtu.be/1ZlLwThQZ8I,Boy,Major
2019-10-07,ONF,Why,,,https://youtu.be/gH14nS5NC0g,Boy,Major
2019-10-07,AB6IX,Blind For Love,,,https://youtu.be/gKxTS22TdsQ,Boy,Major
2019-10-04,Super Junior,I Think I,,,https://youtu.be/CbFh06IpSwA,Boy,Minor
2019-10-04,Limesoda,Wave,웨이브,,https://youtu.be/fNn3S7fHODM,Girl,Major
2019-10-03,SuperM,Jopping,,,https://youtu.be/pAnK1y7qjuE,Boy,Major
2019-10-02,Zico,Extreme,,,https://youtu.be/7Z_aSAiP3vQ,Boy Solo,Minor
2019-10-02,Jeong Sewoon,When It Rains,비가 온대 그날처럼,,https://youtu.be/VffUe5aWCAc,Boy Solo,Major
2019-10-01,ARGON,Give me dat,,,https://youtu.be/8zjpvGHU4H4,Boy,Major
2019-09-30,Chen (EXO),Shall We?,우리 어떻게 할까요,,https://youtu.be/AO1OqWwKj1A,Boy Solo,Major
